planet,mass_kg,volume_km3,density_kg/km3,gravity_m/s2,high_temp_c,low_temp_c,atmos_pressure_mbar,atmos_N,atmos_O,atmos_CO2,atmos_CH4,atmos_H
Mercury,0.055016722408026755,0.056296296296296296,0.9836956521739131,0.37755102040816324,7.741379310344827,1.9101123595505618,0.0,0.05128205128205128,2.0,3.0,2.0,220.0
Venus,0.8177257525083611,0.8592592592592593,0.9528985507246377,0.9081632653061225,8.10344827586207,-5.224719101123595,1.0,0.03846153846153846,0.004761904761904762,96.0,0.2,0.0
Earth,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mars,0.1080267558528428,0.15092592592592594,0.7192028985507246,0.37755102040816324,0.3448275862068966,1.404494382022472,0.0001,0.03846153846153846,0.00047619047619047624,95.0,0.02,0.5
Jupiter,317.7257525083612,1324.0740740740741,0.24094202898550723,2.357142857142857,-1.896551724137931,1.2359550561797752,1.4,0.0,0.0,0.0,0.0,900.0
Saturn ,95.1505016722408,765.7407407407408,0.12445652173913044,0.9183673469387754,-2.413793103448276,1.5730337078651686,1.0,0.0,0.0,0.0,0.0,960.0
Uranus ,14.515050167224079,63.24074074074074,0.23007246376811594,0.8877551020408162,-3.3620689655172415,2.191011235955056,1.1,0.0,0.0,0.0,5.0,829.9999999999999
Neptune,17.224080267558527,57.96296296296296,0.29891304347826086,1.1224489795918366,-3.4482758620689653,2.247191011235955,2.0,0.0,0.0,0.0,2.0,800.0
